state-code,county-code,population,fips
1,0,4903185,1
1,1,55869,1001
1,3,223234,1003
1,5,24686,1005
1,7,22394,1007
1,9,57826,1009
1,11,10101,1011
1,13,19448,1013
1,15,113605,1015
1,17,33254,1017
1,19,26196,1019
1,21,44428,1021
1,23,12589,1023
1,25,23622,1025
1,27,13235,1027
1,29,14910,1029
1,31,52342,1031
1,33,55241,1033
1,35,12067,1035
1,37,10663,1037
1,39,37049,1039
1,41,13772,1041
1,43,83768,1043
1,45,49172,1045
1,47,37196,1047
1,49,71513,1049
1,51,81209,1051
1,53,36633,1053
1,55,102268,1055
1,57,16302,1057
1,59,31362,1059
1,61,26271,1061
1,63,8111,1063
1,65,14651,1065
1,67,17205,1067
1,69,105882,1069
1,71,51626,1071
1,73,658573,1073
1,75,13805,1075
1,77,92729,1077
1,79,32924,1079
1,81,164542,1081
1,83,98915,1083
1,85,9726,1085
1,87,18068,1087
1,89,372909,1089
1,91,18863,1091
1,93,29709,1093
1,95,96774,1095
1,97,413210,1097
1,99,20733,1099
1,101,226486,1101
1,103,119679,1103
1,105,8923,1105
1,107,19930,1107
1,109,33114,1109
1,111,22722,1111
1,113,57961,1113
1,115,89512,1115
1,117,217702,1117
1,119,12427,1119
1,121,79978,1121
1,123,40367,1123
1,125,209355,1125
1,127,63521,1127
1,129,16326,1129
1,131,10373,1131
1,133,23629,1133
2,0,731545,2
2,13,3337,2013
2,16,5634,2016
2,20,288000,2020
2,50,18386,2050
2,60,836,2060
2,68,2097,2068
2,70,4916,2070
2,90,96849,2090
2,100,2530,2100
2,105,2148,2105
2,110,31974,2110
2,122,58708,2122
2,130,13901,2130
2,150,12998,2150
2,158,8314,2158
2,164,1592,2164
2,170,108317,2170
2,180,10004,2180
2,185,9832,2185
2,188,7621,2188
2,195,3266,2195
2,198,6203,2198
2,220,8493,2220
2,230,1183,2230
2,240,6893,2240
2,261,9202,2261
2,275,2502,2275
2,282,579,2282
2,290,5230,2290
4,0,7278717,4
4,1,71887,4001
4,3,125922,4003
4,5,143476,4005
4,7,54018,4007
4,9,38837,4009
4,11,9498,4011
4,12,21108,4012
4,13,4485414,4013
4,15,212181,4015
4,17,110924,4017
4,19,1047279,4019
4,21,462789,4021
4,23,46498,4023
4,25,235099,4025
4,27,213787,4027
5,0,3017804,5
5,1,17486,5001
5,3,19657,5003
5,5,41932,5005
5,7,279141,5007
5,9,37432,5009
5,11,10763,5011
5,13,5189,5013
5,15,28380,5015
5,17,10118,5017
5,19,22320,5019
5,21,14551,5021
5,23,24919,5023
5,25,7956,5025
5,27,23457,5027
5,29,20846,5029
5,31,110332,5031
5,33,63257,5033
5,35,47955,5035
5,37,16419,5037
5,39,7009,5039
5,41,11361,5041
5,43,18219,5043
5,45,126007,5045
5,47,17715,5047
5,49,12477,5049
5,51,99386,5051
5,53,18265,5053
5,55,45325,5055
5,57,21532,5057
5,59,33771,5059
5,61,13202,5061
5,63,37825,5063
5,65,13629,5065
5,67,16719,5067
5,69,66824,5069
5,71,26578,5071
5,73,6624,5073
5,75,16406,5075
5,77,8857,5077
5,79,13024,5079
5,81,12259,5081
5,83,21466,5083
5,85,73309,5085
5,87,16576,5087
5,89,16694,5089
5,91,43257,5091
5,93,40651,5093
5,95,6701,5095
5,97,8986,5097
5,99,8252,5099
5,101,7753,5101
5,103,23382,5103
5,105,10455,5105
5,107,17782,5107
5,109,10718,5109
5,111,23528,5111
5,113,19964,5113
5,115,64072,5115
5,117,8062,5117
5,119,391911,5119
5,121,17958,5121
5,123,24994,5123
5,125,122437,5125
5,127,10281,5127
5,129,7881,5129
5,131,127827,5131
5,133,17007,5133
5,135,17442,5135
5,137,12506,5137
5,139,38682,5139
5,141,16545,5141
5,143,239187,5143
5,145,78753,5145
5,147,6320,5147
5,149,21341,5149
6,0,39512223,6
6,1,1671329,6001
6,3,1129,6003
6,5,39752,6005
6,7,219186,6007
6,9,45905,6009
6,11,21547,6011
6,13,1153526,6013
6,15,27812,6015
6,17,192843,6017
6,19,999101,6019
6,21,28393,6021
6,23,135558,6023
6,25,181215,6025
6,27,18039,6027
6,29,900202,6029
6,31,152940,6031
6,33,64386,6033
6,35,30573,6035
6,37,10039107,6037
6,39,157327,6039
6,41,258826,6041
6,43,17203,6043
6,45,86749,6045
6,47,277680,6047
6,49,8841,6049
6,51,14444,6051
6,53,434061,6053
6,55,137744,6055
6,57,99755,6057
6,59,3175692,6059
6,61,398329,6061
6,63,18807,6063
6,65,2470546,6065
6,67,1552058,6067
6,69,62808,6069
6,71,2180085,6071
6,73,3338330,6073
6,75,881549,6075
6,77,762148,6077
6,79,283111,6079
6,81,766573,6081
6,83,446499,6083
6,85,1927852,6085
6,87,273213,6087
6,89,180080,6089
6,91,3005,6091
6,93,43539,6093
6,95,447643,6095
6,97,494336,6097
6,99,550660,6099
6,101,96971,6101
6,103,65084,6103
6,105,12285,6105
6,107,466195,6107
6,109,54478,6109
6,111,846006,6111
6,113,220500,6113
6,115,78668,6115
8,0,5758736,8
8,1,517421,8001
8,3,16233,8003
8,5,656590,8005
8,7,14029,8007
8,9,3581,8009
8,11,5577,8011
8,13,326196,8013
8,14,70465,8014
8,15,20356,8015
8,17,1831,8017
8,19,9700,8019
8,21,8205,8021
8,23,3887,8023
8,25,6061,8025
8,27,5068,8027
8,29,31162,8029
8,31,727211,8031
8,33,2055,8033
8,35,351154,8035
8,37,55127,8037
8,39,26729,8039
8,41,720403,8041
8,43,47839,8043
8,45,60061,8045
8,47,6243,8047
8,49,15734,8049
8,51,17462,8051
8,53,820,8053
8,55,6897,8055
8,57,1392,8057
8,59,582881,8059
8,61,1406,8061
8,63,7097,8063
8,65,8127,8065
8,67,56221,8067
8,69,356899,8069
8,71,14506,8071
8,73,5701,8073
8,75,22409,8075
8,77,154210,8077
8,79,769,8079
8,81,13283,8081
8,83,26183,8083
8,85,42758,8085
8,87,29068,8087
8,89,18278,8089
8,91,4952,8091
8,93,18845,8093
8,95,4265,8095
8,97,17767,8097
8,99,12172,8099
8,101,168424,8101
8,103,6324,8103
8,105,11267,8105
8,107,25638,8107
8,109,6824,8109
8,111,728,8111
8,113,8179,8113
8,115,2248,8115
8,117,31011,8117
8,119,25388,8119
8,121,4908,8121
8,123,324492,8123
8,125,10019,8125
9,0,3565287,9
9,1,943332,9001
9,3,891720,9003
9,5,180333,9005
9,7,162436,9007
9,9,854757,9009
9,11,265206,9011
9,13,150721,9013
9,15,116782,9015
10,0,973764,10
10,1,180786,10001
10,3,558753,10003
10,5,234225,10005
11,0,705749,11
11,1,705749,11001
12,0,21477737,12
12,1,269043,12001
12,3,29210,12003
12,5,174705,12005
12,7,28201,12007
12,9,601942,12009
12,11,1952778,12011
12,13,14105,12013
12,15,188910,12015
12,17,149657,12017
12,19,219252,12019
12,21,384902,12021
12,23,71686,12023
12,27,38001,12027
12,29,16826,12029
12,31,957755,12031
12,33,318316,12033
12,35,115081,12035
12,37,12125,12037
12,39,45660,12039
12,41,18582,12041
12,43,13811,12043
12,45,13639,12045
12,47,14428,12047
12,49,26937,12049
12,51,42022,12051
12,53,193920,12053
12,55,106221,12055
12,57,1471968,12057
12,59,19617,12059
12,61,159923,12061
12,63,46414,12063
12,65,14246,12065
12,67,8422,12067
12,69,367118,12069
12,71,770577,12071
12,73,293582,12073
12,75,41503,12075
12,77,8354,12077
12,79,18493,12079
12,81,403253,12081
12,83,365579,12083
12,85,161000,12085
12,86,2716940,12086
12,87,74228,12087
12,89,88625,12089
12,91,210738,12091
12,93,42168,12093
12,95,1393452,12095
12,97,375751,12097
12,99,1496770,12099
12,101,553947,12101
12,103,974996,12103
12,105,724777,12105
12,107,74521,12107
12,109,264672,12109
12,111,328297,12111
12,113,184313,12113
12,115,433742,12115
12,117,471826,12117
12,119,132420,12119
12,121,44417,12121
12,123,21569,12123
12,125,15237,12125
12,127,553284,12127
12,129,33739,12129
12,131,74071,12131
12,133,25473,12133
13,0,10617423,13
13,1,18386,13001
13,3,8165,13003
13,5,11164,13005
13,7,3038,13007
13,9,44890,13009
13,11,19234,13011
13,13,83240,13013
13,15,107738,13015
13,17,16700,13017
13,19,19397,13019
13,21,153159,13021
13,23,12873,13023
13,25,19109,13025
13,27,15457,13027
13,29,39627,13029
13,31,79608,13031
13,33,22383,13033
13,35,24936,13035
13,37,6189,13037
13,39,54666,13039
13,43,10803,13043
13,45,119992,13045
13,47,67580,13047
13,49,13392,13049
13,51,289430,13051
13,53,10907,13053
13,55,24789,13055
13,57,258773,13057
13,59,128331,13059
13,61,2834,13061
13,63,292256,13063
13,65,6618,13065
13,67,760141,13067
13,69,43273,13069
13,71,45600,13071
13,73,156714,13073
13,75,17270,13075
13,77,148509,13077
13,79,12404,13079
13,81,22372,13081
13,83,16116,13083
13,85,26108,13085
13,87,26404,13087
13,89,759297,13089
13,91,20605,13091
13,93,13390,13093
13,95,87956,13095
13,97,146343,13097
13,99,10190,13099
13,101,4006,13101
13,103,64296,13103
13,105,19194,13105
13,107,22646,13107
13,109,10654,13109
13,111,26188,13111
13,113,114421,13113
13,115,98498,13115
13,117,244252,13117
13,119,23349,13119
13,121,1063937,13121
13,123,31369,13123
13,125,2971,13125
13,127,85292,13127
13,129,57963,13129
13,131,24633,13131
13,133,18324,13133
13,135,936250,13135
13,137,45328,13137
13,139,204441,13139
13,141,8457,13141
13,143,29792,13143
13,145,35236,13145
13,147,26205,13147
13,149,11923,13149
13,151,234561,13151
13,153,157863,13153
13,155,9416,13155
13,157,72977,13157
13,159,14219,13159
13,161,15115,13161
13,163,15362,13163
13,165,8676,13165
13,167,9643,13167
13,169,28735,13169
13,171,19077,13171
13,173,10423,13173
13,175,47546,13175
13,177,29992,13177
13,179,61435,13179
13,181,7921,13181
13,183,19559,13183
13,185,117406,13185
13,187,33610,13187
13,189,21312,13189
13,191,14378,13191
13,193,12947,13193
13,195,29880,13195
13,197,8359,13197
13,199,21167,13199
13,201,5718,13201
13,205,21863,13205
13,207,27578,13207
13,209,9172,13209
13,211,19276,13211
13,213,40096,13213
13,215,195769,13215
13,217,111744,13217
13,219,40280,13219
13,221,15259,13221
13,223,168667,13223
13,225,27546,13225
13,227,32591,13227
13,229,19465,13229
13,231,18962,13231
13,233,42613,13233
13,235,11137,13235
13,237,22119,13237
13,239,2299,13239
13,241,17137,13241
13,243,6778,13243
13,245,202518,13245
13,247,90896,13247
13,249,5257,13249
13,251,13966,13251
13,253,8090,13253
13,255,66703,13255
13,257,25925,13257
13,259,6621,13259
13,261,29524,13261
13,263,6195,13263
13,265,1537,13265
13,267,25286,13267
13,269,8020,13269
13,271,15860,13271
13,273,8531,13273
13,275,44451,13275
13,277,40644,13277
13,279,26830,13279
13,281,12037,13281
13,283,6901,13283
13,285,69922,13285
13,287,7985,13287
13,289,8120,13289
13,291,24511,13291
13,293,26320,13293
13,295,69761,13295
13,297,94593,13297
13,299,35734,13299
13,301,5254,13301
13,303,20374,13303
13,305,29927,13305
13,307,2607,13307
13,309,7855,13309
13,311,30798,13311
13,313,104628,13313
13,315,8635,13315
13,317,9777,13317
13,319,8954,13319
13,321,20247,13321
15,0,1415872,15
15,1,201513,15001
15,3,974563,15003
15,5,86,15005
15,7,72293,15007
15,9,167417,15009
16,0,1787065,16
16,1,481587,16001
16,3,4294,16003
16,5,87808,16005
16,7,6125,16007
16,9,9298,16009
16,11,46811,16011
16,13,23021,16013
16,15,7831,16015
16,17,45739,16017
16,19,119062,16019
16,21,12245,16021
16,23,2597,16023
16,25,1106,16025
16,27,229849,16027
16,29,7155,16029
16,31,24030,16031
16,33,845,16033
16,35,8756,16035
16,37,4315,16037
16,39,27511,16039
16,41,13876,16041
16,43,13099,16043
16,45,18112,16045
16,47,15179,16047
16,49,16667,16049
16,51,29871,16051
16,53,24412,16053
16,55,165697,16055
16,57,40108,16057
16,59,8027,16059
16,61,3838,16061
16,63,5366,16063
16,65,39907,16065
16,67,21039,16067
16,69,40408,16069
16,71,4531,16071
16,73,11823,16073
16,75,23951,16075
16,77,7681,16077
16,79,12882,16079
16,81,12142,16081
16,83,86878,16083
16,85,11392,16085
16,87,10194,16087
17,0,12671821,17
17,1,65435,17001
17,3,5761,17003
17,5,16426,17005
17,7,53544,17007
17,9,6578,17009
17,11,32628,17011
17,13,4739,17013
17,15,14305,17015
17,17,12147,17017
17,19,209689,17019
17,21,32304,17021
17,23,15441,17023
17,25,13184,17025
17,27,37562,17027
17,29,50621,17029
17,31,5150233,17031
17,33,18667,17033
17,35,10766,17035
17,37,104897,17037
17,39,15638,17039
17,41,19465,17041
17,43,922921,17043
17,45,17161,17045
17,47,6395,17047
17,49,34008,17049
17,51,21336,17051
17,53,12961,17053
17,55,38469,17055
17,57,34340,17057
17,59,4828,17059
17,61,12969,17061
17,63,51054,17063
17,65,8116,17065
17,67,17708,17067
17,69,3821,17069
17,71,6646,17071
17,73,48913,17073
17,75,27114,17075
17,77,56750,17077
17,79,9610,17079
17,81,37684,17081
17,83,21773,17083
17,85,21235,17085
17,87,12417,17087
17,89,532403,17089
17,91,109862,17091
17,93,128990,17093
17,95,49699,17095
17,97,696535,17097
17,99,108669,17099
17,101,15678,17101
17,103,34096,17103
17,105,35648,17105
17,107,28618,17107
17,109,29682,17109
17,111,307774,17111
17,113,171517,17113
17,115,104009,17115
17,117,44926,17117
17,119,262966,17119
17,121,37205,17121
17,123,11438,17123
17,125,13359,17125
17,127,13772,17127
17,129,12196,17129
17,131,15437,17131
17,133,34637,17133
17,135,28414,17135
17,137,33658,17137
17,139,14501,17139
17,141,50643,17141
17,143,179179,17143
17,145,20916,17145
17,147,16344,17147
17,149,15561,17149
17,151,4177,17151
17,153,5335,17153
17,155,5739,17155
17,157,31782,17157
17,159,15513,17159
17,161,141879,17161
17,163,259686,17163
17,165,23491,17165
17,167,194672,17167
17,169,6768,17169
17,171,4951,17171
17,173,21634,17173
17,175,5342,17175
17,177,44498,17177
17,179,131803,17179
17,181,16653,17181
17,183,75758,17183
17,185,11520,17185
17,187,16844,17187
17,189,13887,17189
17,191,16215,17191
